0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
,,,,,,,,,,,,,,,,TOP BƯU CỤC %GTC TỆ NHẤT,,,,,,,,,,,,,,,,TOP  20 BƯU CỤC %GTC TỐT NHẤT,,,,,,,,,,,,,,
AM,Chi tiết,Time,Volume,Hàng Mới Về Trong Ngày,Gán,Chưa Gán,GTC,Chuyển Trả,Tồn,%Gán,%Chưa Gán,%GTC,%Chuyển trả,,,Chi tiết,AM,Time,Volume,Hàng Mới Về Trong Ngày,Gán,Chưa Gán,GTC,Chuyển Trả,Tồn,%Gán,%Chưa Gán,%GTC,%Chuyển trả,%Tồn,,Chi tiết,AM,Time,Volume,Hàng Mới Về Trong Ngày,Gán,Chưa Gán,GTC,Chuyển Trả,Tồn,%Gán,%Chưa Gán,%GTC,%Chuyển trả,%Tồn
,(BTH) Phước Hội,2026-07-09 - Thứ 5,1.689,1.340,1.489,200,1.152,38,499,"88,16%","11,84%","68,21%","2,25%",,,(BTH) Bắc Bình,AM Khánh,2026-07-09 - Thứ 5,794,613,665,129,537,14,243,"83,75%","16,25%","67,63%","1,76%","30,60%",,(BTH) Tuyên Quang,AM Nhựt,2026-07-09 - Thứ 5,1590,1137,1390,200,1109,26,455,"87,42%","12,58%","69,75%","1,63%","28,62%"
,(BTH) Tân Hải,2026-07-09 - Thứ 5,653,577,646,7,532,10,111,"98,93%","1,07%","81,47%","1,53%",,,(KHO) Nam Nha Trang 1,AM Thư,2026-07-09 - Thứ 5,1258,853,1184,74,851,22,385,"94,12%","5,88%","67,65%","1,75%","30,60%",,(BTH) Hàm Liêm,AM Khánh,2026-07-09 - Thứ 5,1189,855,1021,168,828,23,338,"85,87%","14,13%","69,64%","1,94%","28,43%"
AM Long,(KHO) Cam Lâm 2,2026-07-09 - Thứ 5,1.070,793,1.058,12,796,28,246,"98,88%","1,12%","74,39%","2,61%",,,(DNO) Tuy Đức,AM Nhung,2026-07-09 - Thứ 5,607,429,606,1,411,18,178,"99,84%","0,16%","67,71%","2,96%","29,33%",,(KHO) Tu Bông,AM Công,2026-07-09 - Thứ 5,724,518,709,15,504,17,203,"97,93%","2,07%","69,61%","2,35%","28,04%"
AM Nga,(LDO) 1 Bảo Lộc,2026-07-09 - Thứ 5,1.025,846,894,131,755,12,258,"87,22%","12,78%","73,66%","1,17%",,,(DNO) Đức An,AM Nhung,2026-07-09 - Thứ 5,671,532,618,53,456,14,201,"92,10%","7,90%","67,96%","2,09%","29,96%",,(LDO) Bảo Lâm 3,AM Nga,2026-07-09 - Thứ 5,354,279,347,7,246,11,97,"98,02%","1,98%","69,49%","3,11%","27,40%"
,(LDO) B'Lao,2026-07-09 - Thứ 5,1.331,1.102,1.236,95,1.041,24,266,"92,86%","7,14%","78,21%","1,80%",,,(LDO) Đinh Văn Lâm Hà,AM Chi,2026-07-09 - Thứ 5,1223,805,994,229,833,25,365,"81,28%","18,72%","68,11%","2,05%","29,84%",,(KHO) Đông Ninh Hòa,AM Công,2026-07-09 - Thứ 5,932,734,885,47,643,37,252,"94,96%","5,04%","68,99%","3,97%","27,04%"
,(LDO) Bảo Lâm 1,2026-07-09 - Thứ 5,378,258,297,81,212,7,159,"78,57%","21,43%","56,08%","1,85%",,,(BTH) Phước Hội,AM Khánh,2026-07-09 - Thứ 5,1689,1340,1489,200,1152,38,499,"88,16%","11,84%","68,21%","2,25%","29,54%",,(LDO) Đạ Tẻh,AM Vũ,2026-07-09 - Thứ 5,966,563,931,35,666,22,278,"96,38%","3,62%","68,94%","2,28%","28,78%"
,(LDO) Bảo Lâm 3,2026-07-09 - Thứ 5,354,279,347,7,246,11,97,"98,02%","1,98%","69,49%","3,11%",,,(LDO) Đạ Tẻh,AM Vũ,2026-07-09 - Thứ 5,966,563,931,35,666,22,278,"96,38%","3,62%","68,94%","2,28%","28,78%",,(BTH) Phước Hội,AM Khánh,2026-07-09 - Thứ 5,1689,1340,1489,200,1152,38,499,"88,16%","11,84%","68,21%","2,25%","29,54%"
,(LDO) Hòa Ninh,2026-07-09 - Thứ 5,740,378,523,217,348,12,380,"70,67%","29,33%","47,03%","1,62%",,,(KHO) Đông Ninh Hòa,AM Công,2026-07-09 - Thứ 5,932,734,885,47,643,37,252,"94,96%","5,04%","68,99%","3,97%","27,04%",,(LDO) Đinh Văn Lâm Hà,AM Chi,2026-07-09 - Thứ 5,1223,805,994,229,833,25,365,"81,28%","18,72%","68,11%","2,05%","29,84%"
AM Nhung,(DNO) Cư Jút,2026-07-09 - Thứ 5,1.280,672,949,331,713,28,539,"74,14%","25,86%","55,70%","2,19%",,,(LDO) Bảo Lâm 3,AM Nga,2026-07-09 - Thứ 5,354,279,347,7,246,11,97,"98,02%","1,98%","69,49%","3,11%","27,40%",,(DNO) Đức An,AM Nhung,2026-07-09 - Thứ 5,671,532,618,53,456,14,201,"92,10%","7,90%","67,96%","2,09%","29,96%"
,(DNO) Đức An,2026-07-09 - Thứ 5,671,532,618,53,456,14,201,"92,10%","7,90%","67,96%","2,09%",,,(KHO) Tu Bông,AM Công,2026-07-09 - Thứ 5,724,518,709,15,504,17,203,"97,93%","2,07%","69,61%","2,35%","28,04%",,(DNO) Tuy Đức,AM Nhung,2026-07-09 - Thứ 5,607,429,606,1,411,18,178,"99,84%","0,16%","67,71%","2,96%","29,33%"
,(DNO) Đức Lập,2026-07-09 - Thứ 5,1.380,1.118,1.370,10,1.032,27,321,"99,27%","0,73%","74,78%","1,96%",,,(BTH) Hàm Liêm,AM Khánh,2026-07-09 - Thứ 5,1189,855,1021,168,828,23,338,"85,87%","14,13%","69,64%","1,94%","28,43%",,(KHO) Nam Nha Trang 1,AM Thư,2026-07-09 - Thứ 5,1258,853,1184,74,851,22,385,"94,12%","5,88%","67,65%","1,75%","30,60%"
,(DNO) Krông Nô,2026-07-09 - Thứ 5,1.035,593,868,167,596,25,414,"83,87%","16,13%","57,58%","2,41%",,,(BTH) Tuyên Quang,AM Nhựt,2026-07-09 - Thứ 5,1590,1137,1390,200,1109,26,455,"87,42%","12,58%","69,75%","1,63%","28,62%",,(BTH) Bắc Bình,AM Khánh,2026-07-09 - Thứ 5,794,613,665,129,537,14,243,"83,75%","16,25%","67,63%","1,76%","30,60%"
,(DNO) Quảng Khê,2026-07-09 - Thứ 5,585,317,460,125,286,31,268,"78,64%","21,36%","48,89%","5,30%",,,(LDO) Nam Ban Lâm Hà,AM Chi,2026-07-09 - Thứ 5,645,468,569,76,450,15,180,"88,22%","11,78%","69,77%","2,32%","27,91%",,(LDO) Đạ Huoai,AM Vũ,2026-07-09 - Thứ 5,855,566,691,164,575,12,268,"80,82%","19,18%","67,25%","1,40%","31,34%"
,(DNO) Quảng Sơn,2026-07-09 - Thứ 5,424,306,421,3,309,15,100,"99,29%","0,71%","72,88%","3,54%",,,(NTH) Ninh Chử,AM D.Long,2026-07-09 - Thứ 5,1474,1043,1235,239,1032,24,418,"83,79%","16,21%","70,01%","1,63%","28,36%",,(KHO) Diên Thọ,AM Phi,2026-07-09 - Thứ 5,725,576,655,70,483,18,224,"90,35%","9,65%","66,62%","2,49%","30,90%"
,(DNO) Trường Xuân,2026-07-09 - Thứ 5,446,331,441,5,284,17,145,"98,88%","1,12%","63,68%","3,81%",,,(NTH) Thuận Nam,AM D.Long,2026-07-09 - Thứ 5,861,800,723,138,603,23,235,"83,97%","16,03%","70,03%","2,67%","27,29%",,(BTH) Đức Linh,AM Khánh,2026-07-09 - Thứ 5,1998,1508,1611,387,1323,31,644,"80,63%","19,37%","66,21%","1,55%","32,23%"
,(DNO) Tuy Đức,2026-07-09 - Thứ 5,607,429,606,1,411,18,178,"99,84%","0,16%","67,71%","2,96%",,,(LDO) 3 Bảo Lộc,AM Vũ,2026-07-09 - Thứ 5,1226,945,1067,159,868,16,342,"87,03%","12,97%","70,80%","1,31%","27,90%",,(DNO) Đông Gia Nghĩa,AM Phước,2026-07-09 - Thứ 5,793,550,777,16,524,23,246,"97,98%","2,02%","66,08%","2,90%","31,02%"
AM Nhựt,(BTH) Hàm Tân,2026-07-09 - Thứ 5,1.365,770,807,558,595,24,746,"59,12%","40,88%","43,59%","1,76%",,,(KHO) Ninh Hòa 2,AM Công,2026-07-09 - Thứ 5,1584,1224,1511,73,1123,43,418,"95,39%","4,61%","70,90%","2,71%","26,39%",,(KHO) Nha Trang,AM Duy,2026-07-09 - Thứ 5,752,531,737,15,496,20,236,"98,00%","2,00%","65,96%","2,66%","31,39%"
